"""Remember Me"" Default Value","""Remember Me"" Default Value"
"(Not %s?)","(Not %s?)"
"* Required Fields","* Required Fields"
"Address","Address"
"Address Information","Address Information"
"Already registered?","Already registered?"
"Back","Back"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Cannot load configuration from file %s.","Cannot load configuration from file %s."
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","勾選 &quot;記住我&quot; 可以讓你在登出的狀態下存取你的購物車。"
"Checkout as Guest","Checkout as Guest"
"Checkout as a Guest","Checkout as a Guest"
"Checkout as a Guest or Register","Checkout as a Guest or Register"
"City","City"
"Clear Persistence on Log Out","Clear Persistence on Log Out"
"Close","關閉"
"Company","Company"
"Confirm Password","Confirm Password"
"Continue","Continue"
"Country","Country"
"Create an Account","Create an Account"
"Easy access to your order history and status","簡單的存取訂單紀錄和狀態"
"Email Address","Email Address"
"Enable ""Remember Me""","Enable ""Remember Me"""
"Enable Persistence","Enable Persistence"
"Fast and easy check out","快速並且簡易結帳"
"Faster checkout","快速結帳"
"Fax","Fax"
"Forgot Your Password?","Forgot Your Password?"
"Forgot your password?","Forgot your password?"
"General Options","General Options"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Loading next step...","Loading next step..."
"Login","Login"
"Login Information","Login Information"
"Login or Create an Account","Login or Create an Account"
"New Customers","New Customers"
"New Here?","第一次造訪本站嗎？"
"Password","Password"
"Persist Shopping Cart","Persist Shopping Cart"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)"
"Persistent Shopping Cart","Persistent Shopping Cart"
"Personal Information","Personal Information"
"Please enter the following information to create your account.","請輸入下列資訊以創建帳號。"
"Please log in below:","Please log in below:"
"Please select region, state or province","Please select region, state or province"
"Register","Register"
"Register and Checkout","Register and Checkout"
"Register and save time!","註冊並節省時間!"
"Register to Create an Account","Register to Create an Account"
"Register with us for future convenience:","Register with us for future convenience:"
"Registered Customers","Registered Customers"
"Registration is free and easy!","註冊個人帳號簡易又方便！"
"Remember Me","記住我"
"Returning Customers","Returning Customers"
"Save in address book","Save in address book"
"Save multiple shipping addresses","儲存多組寄送地址"
"Select State/Province...","Select State/Province..."
"Select a billing address from your address book or enter a new address.","Select a billing address from your address book or enter a new address."
"Ship to different address","Ship to different address"
"Ship to this address","Ship to this address"
"Shopping cart has been updated with appropriate prices","Shopping cart has been updated with appropriate prices"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Sign in to speed up your checkout process","Sign in to speed up your checkout process"
"State/Province","State/Province"
"Street Address","Street Address"
"Street Address %s","Street Address %s"
"Submit","送出"
"Telephone","Telephone"
"To proceed to Checkout, please log in using your email address.","To proceed to Checkout, please log in using your email address."
"VAT Number","VAT Number"
"View and track orders and more","瀏覽和追蹤訂單。。。"
"Welcome, %s!","Welcome, %s!"
"What's this?","這是什麼？"
"What\'s this?","這是什麼？"
"Zip/Postal Code","Zip/Postal Code"
